purchase_time,purchase_date,quantity
2017/5/16 13:10,2017/5/16,5
2017/5/16 19:41,2017/5/16,3
2017/5/19 18:53,2017/5/19,2
2017/5/18 13:55,2017/5/18,1
2017/5/14 20:28,2017/5/14,3
2017/6/13 21:11,2017/6/13,13
2017/5/9 20:48,2017/5/9,13
2017/5/17 8:36,2017/5/17,7
2017/5/15 16:29,2017/5/15,3
2017/5/9 11:48,2017/5/9,9
2017/5/18 20:59,2017/5/18,14
2017/6/5 13:24,2017/6/5,11
2017/6/4 10:05,2017/6/4,6
2017/5/23 15:28,2017/5/23,6
2017/5/20 2:48,2017/5/20,13
2017/5/26 18:35,2017/5/26,3
2017/5/8 12:22,2017/5/8,2
2017/5/29 12:35,2017/5/29,11
2017/5/19 18:13,2017/5/19,5
2017/6/2 14:00,2017/6/2,12
2017/5/10 14:03,2017/5/10,12
2017/5/11 9:13,2017/5/11,1
2017/6/8 21:18,2017/6/8,2
2017/6/13 11:13,2017/6/13,14
2017/5/21 21:10,2017/5/21,13
2017/5/3 14:31,2017/5/3,3
2017/5/8 14:59,2017/5/8,1
2017/5/8 16:31,2017/5/8,2
2017/5/19 14:12,2017/5/19,4
2017/5/11 21:36,2017/5/11,7
2017/5/31 20:57,2017/5/31,6
2017/5/2 16:35,2017/5/2,6
2017/5/14 9:36,2017/5/14,6
2017/5/6 11:20,2017/5/6,6
2017/5/23 20:19,2017/5/23,5
2017/5/7 13:53,2017/5/7,11
2017/6/5 8:45,2017/6/5,3
2017/5/25 13:50,2017/5/25,3
2017/5/6 12:28,2017/5/6,1
2017/6/5 11:44,2017/6/5,4
2017/6/10 18:02,2017/6/10,12
2017/5/16 21:30,2017/5/16,1
2017/5/14 14:56,2017/5/14,5
2017/5/5 13:48,2017/5/5,13
2017/6/6 0:11,2017/6/6,12
2017/5/12 10:51,2017/5/12,9
2017/5/18 9:34,2017/5/18,5
2017/6/15 16:02,2017/6/15,5
2017/5/14 19:00,2017/5/14,11
2017/5/5 13:35,2017/5/5,9
2017/6/2 10:18,2017/6/2,13
2017/5/22 15:57,2017/5/22,10
2017/5/22 10:27,2017/5/22,7
2017/5/5 8:45,2017/5/5,10
2017/5/2 22:36,2017/5/2,12
2017/5/31 11:02,2017/5/31,5
2017/5/24 10:11,2017/5/24,10
2017/5/17 23:39,2017/5/17,1
2017/5/27 3:23,2017/5/27,3
2017/5/20 12:41,2017/5/20,5
2017/6/6 11:40,2017/6/6,8
2017/6/11 16:02,2017/6/11,1
2017/5/29 10:01,2017/5/29,8
2017/6/14 19:49,2017/6/14,5
2017/5/5 22:10,2017/5/5,11
2017/5/1 15:01,2017/5/1,2
2017/5/24 13:48,2017/5/24,14
2017/5/13 17:42,2017/5/13,2
2017/5/2 21:03,2017/5/2,8
2017/6/7 21:13,2017/6/7,9
2017/6/6 18:10,2017/6/6,14
2017/6/13 23:49,2017/6/13,9
2017/5/19 20:13,2017/5/19,9
2017/5/1 19:13,2017/5/1,1
2017/5/15 21:07,2017/5/15,3
2017/5/9 13:06,2017/5/9,2
2017/5/9 17:42,2017/5/9,3
2017/5/21 22:53,2017/5/21,14
2017/6/12 23:00,2017/6/12,9
2017/5/15 16:58,2017/5/15,13
2017/5/15 16:28,2017/5/15,9
2017/5/6 11:48,2017/5/6,4
2017/5/28 2:08,2017/5/28,1
2017/6/1 10:52,2017/6/1,1
2017/6/4 20:44,2017/6/4,10
2017/6/2 8:48,2017/6/2,5
2017/5/23 20:15,2017/5/23,5
2017/5/26 14:36,2017/5/26,13
2017/5/18 11:18,2017/5/18,9
2017/5/17 23:58,2017/5/17,12
2017/6/12 13:49,2017/6/12,10
2017/6/14 23:41,2017/6/14,4
2017/5/5 11:25,2017/5/5,10
2017/5/16 16:41,2017/5/16,5
2017/5/22 12:58,2017/5/22,5
2017/6/6 11:38,2017/6/6,4
2017/5/29 20:15,2017/5/29,9
2017/6/12 10:26,2017/6/12,1
2017/5/14 9:13,2017/5/14,6
2017/5/7 10:19,2017/5/7,13
2017/5/5 22:34,2017/5/5,7
2017/5/10 14:39,2017/5/10,6
2017/5/18 20:51,2017/5/18,1
2017/6/6 23:08,2017/6/6,9
2017/6/8 18:26,2017/6/8,6
2017/5/23 19:52,2017/5/23,8
2017/5/15 20:46,2017/5/15,14
2017/6/2 12:57,2017/6/2,11
2017/5/15 17:58,2017/5/15,6
2017/5/6 15:20,2017/5/6,9
2017/6/11 21:57,2017/6/11,10
2017/5/14 12:36,2017/5/14,5
2017/5/29 22:07,2017/5/29,4
2017/5/12 22:50,2017/5/12,10
2017/6/9 13:14,2017/6/9,2
2017/5/21 23:42,2017/5/21,10
2017/6/14 20:22,2017/6/14,2
2017/5/1 16:12,2017/5/1,10
2017/5/6 2:54,2017/5/6,7
2017/5/13 13:16,2017/5/13,14
2017/6/13 21:10,2017/6/13,7
2017/5/25 12:51,2017/5/25,9
2017/5/16 12:28,2017/5/16,7
2017/6/6 21:40,2017/6/6,6
2017/6/5 15:51,2017/6/5,4
2017/6/5 9:51,2017/6/5,9
2017/5/17 15:08,2017/5/17,9
2017/5/17 10:45,2017/5/17,1
2017/5/19 16:28,2017/5/19,9
2017/6/12 10:42,2017/6/12,6
2017/6/5 21:14,2017/6/5,8
2017/5/15 21:52,2017/5/15,14
2017/5/7 18:53,2017/5/7,9
2017/5/24 13:44,2017/5/24,12
2017/5/3 15:03,2017/5/3,10
2017/5/23 8:19,2017/5/23,11
2017/5/26 16:43,2017/5/26,2
2017/5/7 22:09,2017/5/7,1
2017/6/1 14:58,2017/6/1,11
2017/6/3 10:47,2017/6/3,4
2017/5/23 10:24,2017/5/23,2
2017/5/7 16:47,2017/5/7,4
2017/5/25 11:32,2017/5/25,14
2017/5/22 15:12,2017/5/22,9
2017/5/19 15:20,2017/5/19,8
2017/5/23 11:54,2017/5/23,6
2017/5/30 20:44,2017/5/30,13
2017/5/19 22:46,2017/5/19,14
2017/6/8 17:30,2017/6/8,12
2017/5/29 18:10,2017/5/29,3
2017/6/1 10:42,2017/6/1,5
2017/6/14 17:34,2017/6/14,13
2017/6/14 11:38,2017/6/14,6
2017/6/1 21:09,2017/6/1,12
2017/5/17 11:07,2017/5/17,12
2017/6/3 16:52,2017/6/3,2
2017/5/29 9:28,2017/5/29,13
2017/5/16 13:58,2017/5/16,1
2017/6/14 16:29,2017/6/14,14
2017/5/18 23:25,2017/5/18,2
2017/5/10 19:29,2017/5/10,12
2017/5/17 22:16,2017/5/17,3
2017/5/25 10:27,2017/5/25,4
2017/5/12 10:17,2017/5/12,1
2017/5/13 11:51,2017/5/13,1
2017/6/10 13:07,2017/6/10,5
2017/5/8 12:20,2017/5/8,10
2017/6/9 10:05,2017/6/9,6
2017/6/2 9:35,2017/6/2,3
2017/5/15 11:20,2017/5/15,6
2017/5/27 0:55,2017/5/27,2
2017/5/23 8:18,2017/5/23,2
2017/6/15 17:52,2017/6/15,8
2017/5/27 11:19,2017/5/27,11
2017/5/21 9:02,2017/5/21,10
2017/6/13 15:50,2017/6/13,13
2017/5/9 12:22,2017/5/9,13
2017/5/4 15:20,2017/5/4,3
2017/6/2 16:17,2017/6/2,1
2017/5/23 8:51,2017/5/23,8
2017/6/5 13:40,2017/6/5,8
2017/5/31 13:21,2017/5/31,13
2017/5/22 21:19,2017/5/22,11
2017/5/22 17:45,2017/5/22,2
2017/6/12 11:00,2017/6/12,9
2017/5/11 13:14,2017/5/11,10
2017/6/3 19:59,2017/6/3,12
2017/6/8 10:51,2017/6/8,7
2017/5/31 17:06,2017/5/31,8
2017/6/12 15:20,2017/6/12,6
2017/5/15 17:42,2017/5/15,10
2017/5/24 18:14,2017/5/24,1
2017/6/12 13:55,2017/6/12,8
2017/5/16 17:48,2017/5/16,7
2017/6/10 18:08,2017/6/10,12
2017/5/25 0:11,2017/5/25,6
2017/5/1 10:23,2017/5/1,9
2017/6/14 12:52,2017/6/14,4
2017/5/1 9:54,2017/5/1,5
2017/6/11 0:04,2017/6/11,5
2017/5/10 20:47,2017/5/10,9
2017/5/7 12:47,2017/5/7,10
2017/5/18 9:48,2017/5/18,2
2017/5/17 22:58,2017/5/17,1
2017/5/14 20:34,2017/5/14,1
2017/6/5 14:15,2017/6/5,11
2017/5/26 16:09,2017/5/26,10
2017/5/30 22:46,2017/5/30,1
2017/5/14 22:34,2017/5/14,6
2017/5/9 12:36,2017/5/9,13
2017/5/24 15:41,2017/5/24,3
2017/5/22 11:43,2017/5/22,10
2017/5/26 2:28,2017/5/26,14
2017/5/7 19:13,2017/5/7,10
2017/5/27 23:34,2017/5/27,13
2017/5/30 17:31,2017/5/30,3
2017/6/3 10:33,2017/6/3,8
2017/5/15 13:52,2017/5/15,12
2017/6/9 15:12,2017/6/9,9
2017/5/8 15:15,2017/5/8,8
2017/5/31 13:55,2017/5/31,5
2017/5/28 13:55,2017/5/28,13
2017/6/5 23:05,2017/6/5,1
2017/6/14 19:52,2017/6/14,14
2017/5/23 17:02,2017/5/23,5
2017/5/24 18:03,2017/5/24,5
2017/5/31 16:27,2017/5/31,1
2017/5/10 15:34,2017/5/10,1
2017/6/8 11:06,2017/6/8,5
2017/5/13 15:45,2017/5/13,4
2017/5/3 9:01,2017/5/3,12
2017/6/9 9:29,2017/6/9,8
2017/5/9 14:58,2017/5/9,7
2017/5/20 2:38,2017/5/20,4
2017/5/28 9:37,2017/5/28,5
2017/5/9 20:57,2017/5/9,1
2017/5/30 9:39,2017/5/30,10
2017/6/14 2:03,2017/6/14,6
2017/6/3 15:30,2017/6/3,3
2017/6/12 9:07,2017/6/12,11
2017/5/18 10:54,2017/5/18,14
2017/6/14 17:15,2017/6/14,7
2017/5/26 23:43,2017/5/26,10
2017/5/11 20:29,2017/5/11,14
2017/6/13 12:29,2017/6/13,11
2017/5/23 10:24,2017/5/23,1
2017/5/11 14:20,2017/5/11,6
2017/5/16 18:59,2017/5/16,10
2017/6/13 19:11,2017/6/13,9
2017/5/7 14:06,2017/5/7,4
2017/6/6 10:03,2017/6/6,11
2017/5/26 16:12,2017/5/26,12
2017/5/12 15:01,2017/5/12,11
2017/6/6 21:33,2017/6/6,9
2017/5/16 12:32,2017/5/16,11
2017/5/3 16:07,2017/5/3,14
2017/6/11 22:11,2017/6/11,13
2017/5/28 23:17,2017/5/28,4
2017/5/18 15:47,2017/5/18,10
2017/5/21 16:31,2017/5/21,13
2017/6/2 21:34,2017/6/2,10
2017/5/26 14:23,2017/5/26,13
2017/6/2 11:59,2017/6/2,2
2017/6/6 12:14,2017/6/6,6
2017/6/3 11:32,2017/6/3,14
2017/6/2 9:54,2017/6/2,1
2017/6/15 20:23,2017/6/15,11
2017/5/6 11:54,2017/5/6,3
2017/5/26 23:17,2017/5/26,7
2017/5/23 11:09,2017/5/23,4
2017/5/25 22:27,2017/5/25,8
2017/5/9 11:39,2017/5/9,13
2017/6/14 13:40,2017/6/14,2
2017/5/25 21:45,2017/5/25,4
2017/5/28 23:57,2017/5/28,3
2017/6/10 0:43,2017/6/10,14
2017/5/24 15:41,2017/5/24,1
2017/5/23 16:32,2017/5/23,6
2017/6/11 11:50,2017/6/11,2
2017/5/29 11:26,2017/5/29,10
2017/5/22 23:20,2017/5/22,14
2017/6/14 15:39,2017/6/14,3
2017/5/27 16:15,2017/5/27,5
2017/6/13 12:22,2017/6/13,11
2017/5/28 19:17,2017/5/28,4
2017/5/2 7:08,2017/5/2,2
2017/5/31 19:37,2017/5/31,1
2017/5/6 14:12,2017/5/6,5
2017/6/4 20:04,2017/6/4,9
2017/5/9 22:14,2017/5/9,9
2017/5/5 11:11,2017/5/5,7
2017/5/26 9:19,2017/5/26,4
2017/5/6 21:09,2017/5/6,9
2017/5/24 21:02,2017/5/24,13
2017/6/11 20:50,2017/6/11,9
2017/6/4 10:37,2017/6/4,7
2017/5/2 13:43,2017/5/2,9
2017/5/15 13:34,2017/5/15,11
2017/5/13 15:28,2017/5/13,4
2017/5/15 17:13,2017/5/15,2
2017/5/26 15:26,2017/5/26,8
2017/6/6 13:17,2017/6/6,8
2017/5/20 15:38,2017/5/20,11
2017/5/7 19:46,2017/5/7,1
2017/5/25 16:20,2017/5/25,1
2017/5/15 16:02,2017/5/15,5
2017/6/5 16:53,2017/6/5,2
2017/5/2 21:57,2017/5/2,2
2017/5/28 22:52,2017/5/28,7
2017/5/28 14:44,2017/5/28,8
2017/5/31 9:19,2017/5/31,10
2017/6/8 20:32,2017/6/8,6
2017/5/18 12:41,2017/5/18,5
2017/5/31 17:35,2017/5/31,5
2017/6/10 22:04,2017/6/10,12
2017/5/8 17:51,2017/5/8,2
2017/5/11 22:41,2017/5/11,4
2017/5/4 20:37,2017/5/4,6
2017/5/19 21:20,2017/5/19,4
2017/5/8 21:40,2017/5/8,2
2017/5/27 13:08,2017/5/27,5
2017/5/17 17:38,2017/5/17,6
2017/5/5 23:41,2017/5/5,7
2017/5/1 18:58,2017/5/1,9
2017/5/7 13:17,2017/5/7,11
2017/5/3 12:57,2017/5/3,6
2017/5/9 15:22,2017/5/9,8
2017/5/21 8:00,2017/5/21,13
2017/6/13 22:33,2017/6/13,14
2017/5/4 15:06,2017/5/4,3
2017/5/18 9:34,2017/5/18,7
2017/6/13 14:09,2017/6/13,13
2017/6/10 9:26,2017/6/10,3
2017/5/5 15:30,2017/5/5,5
2017/5/21 22:38,2017/5/21,8
2017/6/8 9:18,2017/6/8,12
2017/5/29 13:57,2017/5/29,3
2017/6/15 12:09,2017/6/15,1
2017/6/7 10:04,2017/6/7,14
2017/6/12 22:09,2017/6/12,12
2017/6/4 10:12,2017/6/4,11
2017/6/15 15:00,2017/6/15,12
2017/5/23 13:54,2017/5/23,11
2017/5/15 10:17,2017/5/15,9
2017/5/4 19:13,2017/5/4,2
2017/5/7 22:51,2017/5/7,8
2017/6/7 17:22,2017/6/7,12
2017/5/12 21:31,2017/5/12,5
2017/5/30 15:08,2017/5/30,6
2017/5/17 19:14,2017/5/17,1
2017/5/22 16:29,2017/5/22,7
2017/5/9 18:59,2017/5/9,10
2017/6/5 17:16,2017/6/5,14
2017/6/3 12:46,2017/6/3,2
2017/5/24 15:26,2017/5/24,9
2017/5/21 17:14,2017/5/21,12
2017/5/10 8:06,2017/5/10,2
2017/6/9 11:21,2017/6/9,8
2017/5/24 18:49,2017/5/24,12
2017/6/7 16:36,2017/6/7,3
2017/5/29 10:28,2017/5/29,12
2017/5/17 9:18,2017/5/17,11
2017/6/7 15:37,2017/6/7,8
2017/5/7 13:05,2017/5/7,7
2017/6/5 22:54,2017/6/5,8
2017/5/31 19:02,2017/5/31,10
2017/5/5 13:42,2017/5/5,11
2017/5/2 16:01,2017/5/2,2
2017/5/2 10:18,2017/5/2,9
2017/6/11 18:01,2017/6/11,5
2017/6/11 15:11,2017/6/11,8
2017/6/5 19:49,2017/6/5,5
2017/5/15 12:07,2017/5/15,10
2017/5/15 8:58,2017/5/15,9
2017/5/16 8:54,2017/5/16,5
2017/6/11 17:20,2017/6/11,2
2017/6/5 21:13,2017/6/5,12
2017/5/9 22:22,2017/5/9,6
2017/5/3 8:19,2017/5/3,8
2017/5/5 9:56,2017/5/5,8
2017/5/20 17:37,2017/5/20,3
2017/6/11 10:51,2017/6/11,6
2017/6/14 23:43,2017/6/14,3
